ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: page_product_layout,Meta: page_product_youtube,Meta: product_full_screen_description_meta_box_check,Meta: _wpb_vc_js_status,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,
118,simple,,Sifona Black Unstitched 3 Pcs Suit MSC-09,1,1,visible,"<h4>Description</h4>
\nDigital Printed Lawn Front 1.20 Yards.
\nEmbroidered Neckline For Front 1 Piece.
\nDigital Printed Lawn Back 1.20 Yards.
\nDigital Printed Lawn Sleeves 0.70 Yard.
\nDyed Trouser 2.70 Yards.
\nEmbroidered Bunches For Trouser 1 Set.
\nDigital Printed Chiffon Dupatta 2.70 Yards.
\nWhat's in the box?
\n1x Black Unstitched 3 Pcs Suit MSC-09
\n<h4>Product Specialization</h4>
\n<table id=""product-attribute-specs-table-1"" class=""table-bordered product-attribute table"" style=""height: 83px;"" width=""376"">
\n<tbody>
\n<tr class=""first odd"">
\n<td class=""col-heading red"">General</td>
\n<td class=""label col-heading"">Brand</td>
\n<td class=""data  last"">Sifona</td>
\n</tr>
\n<tr class=""even"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">SKU</td>
\n<td class=""data  last"">WOFSIF5D3ACBA382288</td>
\n</tr>
\n<tr class=""last odd"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">Vendor</td>
\n<td class=""data  last"">Sifona</td>
\n</tr>
\n</tbody>
\n</table>
\n<table id=""product-attribute-specs-table-2"" class=""table-bordered product-attribute table""><colgroup><col width=""18%"" /><col width=""18%"" /><col width=""64%"" /></colgroup>
\n<tbody>
\n<tr class=""first last odd"">
\n<td class=""col-heading red"">Features</td>
\n<td class=""label col-heading"">Weight</td>
\n<td class=""data  last"">0.5000</td>
\n</tr>
\n</tbody>
\n</table>","Digital Printed Lawn Front 1.20 Yards.
\nEmbroidered Neckline For Front 1 Piece.
\nDigital Printed Lawn Back 1.20 Yards.
\nDigital Printed Lawn Sleeves 0.70 Yard.
\nDyed Trouser 2.70 Yards.
\nEmbroidered Bunches For Trouser 1 Set.
\nDigital Printed Chiffon Dupatta 2.70 Yards.
\nWhat's in the box?
\n1x Black Unstitched 3 Pcs Suit MSC-09",,,taxable,,1,,,0,0,0.5,,,,1,,3000,3995,"Women > Unstitched > Unstitched 3 Pcs Suit > 3 Pcs Suit, Women > Unstitched > Unstitched 3 Pcs Suit, Women","3 Pcs Suit, Sifona, Unstitched, women",,"http://127.0.0.1/wordpress/wp-content/uploads/2020/05/34a7f626b2bc6805ece4925f8b89fa56.jpg, http://127.0.0.1/wordpress/wp-content/uploads/2020/05/a3fe935087ac2039d89869c780dd82d1.jpg, http://127.0.0.1/wordpress/wp-content/uploads/2020/05/fad0c90e18449cf8ca0a14d901b935b2.jpg",,,,,,,,,0,inherit,,off,FALSE,,,,,,,,,
123,variable,,GulAhmed Off.White Unstitched 3 pcs Lawn Suit,1,0,visible,"<h4>Description</h4>
\n<ul>
\n 	<li>Cotton Printed Dupatta</li>
\n 	<li>2.5 meters Cotton Printed Shirt</li>
\n 	<li>1.75 meters Cotton Printed Bottom</li>
\n 	<li> 1.75 meters What's in the box?</li>
\n 	<li>Off.White Unstitched 3 pcs Lawn Suit-CL-596 A -195592</li>
\n</ul>
\n<h4>Product Specialization</h4>
\n<table id=""product-attribute-specs-table-1"" class=""table-bordered product-attribute table"" style=""height: 117px;"" width=""430""><colgroup> <col width=""18%"" /> <col width=""18%"" /> <col width=""64%"" /></colgroup>
\n<tbody>
\n<tr class=""first odd"">
\n<td class=""col-heading red"">General</td>
\n<td class=""label col-heading"">Brand</td>
\n<td class=""data last"">GulAhmed</td>
\n</tr>
\n<tr class=""even"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">SKU</td>
\n<td class=""data last"">WOFGUL5C77DBDC5A6F0</td>
\n</tr>
\n<tr class=""last odd"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">Vendor</td>
\n<td class=""data last"">GULAHMED TEXTILES MILLS LIMITED</td>
\n</tr>
\n</tbody>
\n</table>
\n<table id=""product-attribute-specs-table-2"" class=""table-bordered product-attribute table"" style=""height: 38px;"" width=""430""><colgroup> <col width=""18%"" /> <col width=""18%"" /> <col width=""64%"" /></colgroup>
\n<tbody>
\n<tr class=""first last odd"">
\n<td class=""col-heading red"">Features</td>
\n<td class=""label col-heading"">Weight</td>
\n<td class=""data last"">1.0000</td>
\n</tr>
\n</tbody>
\n</table>","<h4>Description</h4>
\n<ul>
\n 	<li>Cotton Printed Dupatta</li>
\n 	<li>2.5 meters Cotton Printed Shirt</li>
\n 	<li>1.75 meters Cotton Printed Bottom</li>
\n 	<li> 1.75 meters What's in the box?</li>
\n 	<li>Off.White Unstitched 3 pcs Lawn Suit-CL-596 A -195592</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Women,"3 Pcs Suit, Brabd, Gul Ahmid, Unstitched, women",,"http://127.0.0.1/wordpress/wp-content/uploads/2020/05/e57c33b171548f2ad7299de213ac512b_3.jpg, http://127.0.0.1/wordpress/wp-content/uploads/2020/05/1207c79f0b3c6a70eb516777357c1b50_3.jpg, http://127.0.0.1/wordpress/wp-content/uploads/2020/05/2011316705a1490c272f0b0738e9ff5e_3.jpg",,,,,,,,,0,inherit,,off,FALSE,Colour,"OFF White, Black, Red",1,0,,,,,
127,variation,,GulAhmed Off.White Unstitched 3 pcs Lawn Suit,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3870,,,,,,,id:123,,,,,,0,,,,,Colour,,,0,,,,,
130,simple,,GulAhmed Brown Unstitched DupattaPrinted ShirtDyed Bottom,1,1,visible,"<h4>Description</h4>
\n<ul>
\n 	<li>Top and Bottom Material</li>
\n 	<li>Digital Printed Dupatta Printed ShirtDyed Bottom</li>
\n 	<li>Printed Cotton Dupatta</li>
\n 	<li>2.5 meters ï</li>
\n 	<li>Printed Cotton Shirt ñ</li>
\n 	<li>3 meters ï</li>
\n 	<li>Dyed Viscose Bottom ñ</li>
\n 	<li>2.5 meters What's in the box</li>
\n 	<li>Brown Unstitched KHADDAR COLLECTION</li>
\n</ul>","<h4>Description</h4>
\n<ul>
\n 	<li>Top and Bottom Material</li>
\n 	<li>Digital Printed Dupatta Printed ShirtDyed Bottom</li>
\n 	<li>Printed Cotton Dupatta</li>
\n 	<li>2.5 meters ï</li>
\n 	<li>Printed Cotton Shirt ñ</li>
\n 	<li>3 meters ï</li>
\n 	<li>Dyed Viscose Bottom ñ</li>
\n 	<li>2.5 meters What's in the box</li>
\n 	<li>Brown Unstitched KHADDAR COLLECTION</li>
\n</ul>
\n<h4>Product Specialization</h4>
\n<table id=""product-attribute-specs-table-1"" class=""table-bordered product-attribute table"" style=""height: 116px;"" width=""434""><colgroup><col width=""18%"" /><col width=""18%"" /><col width=""64%"" /></colgroup>
\n<tbody>
\n<tr class=""first odd"">
\n<td class=""col-heading red"">General</td>
\n<td class=""label col-heading"">Brand</td>
\n<td class=""data  last"">GulAhmed</td>
\n</tr>
\n<tr class=""even"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">SKU</td>
\n<td class=""data  last"">WOFGUL5BD300707E632</td>
\n</tr>
\n<tr class=""last odd"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">Vendor</td>
\n<td class=""data  last"">GULAHMED TEXTILES MILLS LIMITED</td>
\n</tr>
\n</tbody>
\n</table>
\n<table id=""product-attribute-specs-table-2"" class=""table-bordered product-attribute table"" style=""height: 30px;"" width=""432""><colgroup><col width=""18%"" /><col width=""18%"" /><col width=""64%"" /></colgroup>
\n<tbody>
\n<tr class=""first last odd"">
\n<td class=""col-heading red"">Features</td>
\n<td class=""label col-heading"">Weight</td>
\n<td class=""data  last"">1.2500</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,3000,3335,"Women > Unstitched > Unstitched 3 Pcs Suit > 3 Pcs Suit, Women > GulAhmed, Women > Unstitched > Unstitched 3 Pcs Suit, Women","3 Pcs Suit, Gul Ahmid, Unstitched, women",,"http://127.0.0.1/wordpress/wp-content/uploads/2020/05/e4673fae463fcefcbbea0adf3750bce8_1.jpg, http://127.0.0.1/wordpress/wp-content/uploads/2020/05/8e4626ee30f9a9eee6e7e8fa14fd98c7_1.jpg, http://127.0.0.1/wordpress/wp-content/uploads/2020/05/aca5dd19e2c443cee7c3dcaf82747d42_1.jpg",,,,,,,,,0,inherit,,off,FALSE,,,,,,,,,
149,simple,,GulAhmed L.Yellow Unstitched 3 pcs Lawn Suit,1,0,visible,"<ul>
\n 	<li>
\n<h4>Description</h4>
\n<ul>
\n 	<li>Bamber Dyed Printed Dupatta</li>
\n 	<li class=""pdp-mod-section-title outer-title"" data-spm-anchor-id=""a2a0e.pdp.0.i1.53528f355bZQf1"">2.5 meters 100% Cotton Printed Embroidered Shirt</li>
\n 	<li class=""pdp-mod-section-title outer-title"" data-spm-anchor-id=""a2a0e.pdp.0.i1.53528f355bZQf1"">2.6 meters 100% Cotton Dyed Bottom</li>
\n 	<li class=""pdp-mod-section-title outer-title"" data-spm-anchor-id=""a2a0e.pdp.0.i1.53528f355bZQf1"">1.75 meters What's in the box?</li>
\n 	<li class=""pdp-mod-section-title outer-title"" data-spm-anchor-id=""a2a0e.pdp.0.i1.53528f355bZQf1"">L.Yellow Unstitched 3 pcs Lawn Suit-BCT-10 -195927</li>
\n</ul>
\n<h4></h4>
\n</li>
\n</ul>","<h4>Description</h4>
\n<ul>
\n 	<li>Bamber Dyed Printed Dupatta</li>
\n 	<li class=""pdp-mod-section-title outer-title"" data-spm-anchor-id=""a2a0e.pdp.0.i1.53528f355bZQf1"">2.5 meters 100% Cotton Printed Embroidered Shirt</li>
\n 	<li class=""pdp-mod-section-title outer-title"" data-spm-anchor-id=""a2a0e.pdp.0.i1.53528f355bZQf1"">2.6 meters 100% Cotton Dyed Bottom</li>
\n 	<li class=""pdp-mod-section-title outer-title"" data-spm-anchor-id=""a2a0e.pdp.0.i1.53528f355bZQf1"">1.75 meters What's in the box?</li>
\n 	<li class=""pdp-mod-section-title outer-title"" data-spm-anchor-id=""a2a0e.pdp.0.i1.53528f355bZQf1"">L.Yellow Unstitched 3 pcs Lawn Suit-BCT-10 -195927</li>
\n</ul>
\n<h4>Product Specialization</h4>
\n<table id=""product-attribute-specs-table-1"" class=""table-bordered product-attribute table"">
\n<tbody>
\n<tr class=""first odd"">
\n<td class=""col-heading red"">General</td>
\n<td class=""label col-heading"">Brand</td>
\n<td class=""data  last"">GulAhmed</td>
\n</tr>
\n<tr class=""even"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">SKU</td>
\n<td class=""data  last"">WOFGUL5C77DC3BA6447</td>
\n</tr>
\n<tr class=""last odd"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">Vendor</td>
\n<td class=""data  last"">GULAHMED TEXTILES MILLS LIMITED</td>
\n</tr>
\n</tbody>
\n</table>
\n<table id=""product-attribute-specs-table-2"" class=""table-bordered product-attribute table"" style=""height: 27px;"" width=""431""><colgroup><col width=""18%"" /><col width=""18%"" /><col width=""64%"" /></colgroup>
\n<tbody>
\n<tr class=""first last odd"">
\n<td class=""col-heading red"">Features</td>
\n<td class=""label col-heading"">Weight</td>
\n<td class=""data  last"">1.0000</td>
\n</tr>
\n</tbody>
\n</table>",,,shipping,,1,,,0,0,,,,,1,,4345,6445,"Women > Unstitched > Unstitched 3 Pcs Suit > 3 Pcs Suit, Women > GulAhmed, Women > Unstitched > Unstitched 3 Pcs Suit, Women","3 Pcs Suit, Gul Ahmid, women",,"http://127.0.0.1/wordpress/wp-content/uploads/2020/05/b5a9c307dc00e933f3cddb07c7b279fe_2.jpg, http://127.0.0.1/wordpress/wp-content/uploads/2020/05/4de376775af20044301dff26be0017e0_2.jpg, http://127.0.0.1/wordpress/wp-content/uploads/2020/05/3a36a717825530edd8fa4deb6ec5f257_2.jpg",,,,,,,,,0,inherit,,off,FALSE,,,,,,,,,
153,simple,,Salitex JACQUARD CLASSIC CONTRAST VOL 4 BY SALITEX,1,0,visible,"<strong>JACQUARD CLASSIC CONTRAST VOL 4 BY SALITEX</strong>
\n<ul>
\n 	<li><strong>Shirt:                Jacquard Shirt </strong></li>
\n 	<li><strong>Dupatta:          Jacquard Contrast Duptta </strong></li>
\n 	<li><strong>Trouser:          Cambric Trousers.</strong></li>
\n</ul>
\n<h4></h4>","<h4>Description</h4>
\n<strong>JACQUARD CLASSIC CONTRAST VOL 4 BY SALITEX</strong>
\n<ul>
\n 	<li><strong>Shirt:                Jacquard Shirt </strong></li>
\n 	<li><strong>Dupatta:          Jacquard Contrast Duptta </strong></li>
\n 	<li><strong>Trouser:          Cambric Trousers.</strong></li>
\n</ul>
\n<h4>Product Specialization</h4>
\n<table id=""product-attribute-specs-table-1"" class=""table-bordered product-attribute table"" style=""height: 94px;"" width=""372""><colgroup><col width=""18%"" /><col width=""18%"" /><col width=""64%"" /></colgroup>
\n<tbody>
\n<tr class=""first odd"">
\n<td class=""col-heading red"">General</td>
\n<td class=""label col-heading"">Brand</td>
\n<td class=""data  last"">Salitex</td>
\n</tr>
\n<tr class=""even"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">SKU</td>
\n<td class=""data  last"">WOFSAL5E0B33035DA9C</td>
\n</tr>
\n<tr class=""last odd"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">Vendor</td>
\n<td class=""data  last"">Aj Dukan</td>
\n</tr>
\n</tbody>
\n</table>
\n<table id=""product-attribute-specs-table-2"" class=""table-bordered product-attribute table"" style=""height: 34px;"" width=""371""><colgroup><col width=""18%"" /><col width=""18%"" /><col width=""64%"" /></colgroup>
\n<tbody>
\n<tr class=""first last odd"">
\n<td class=""col-heading red"">Features</td>
\n<td class=""label col-heading"">Weight</td>
\n<td class=""data  last"">1.0000</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,,2975,"Women > Unstitched > Unstitched 3 Pcs Suit > 3 Pcs Suit, Women > JACQUARD, Women > Unstitched > Unstitched 3 Pcs Suit, Women","3 Pcs Suit, Dupatta, JACQUARD, Salitex, Shirt, Trouser, Unstitched, women",,http://127.0.0.1/wordpress/wp-content/uploads/2020/05/ab8f50e3e7a975ed2cd4a154fc3c2941.jpeg,,,,,,,,,0,inherit,,off,FALSE,,,,,,,,,
155,simple,,LimeLight Unstitched Slub Khaddar Shirt,1,0,visible,"<h4>Description:</h4>
\n<ul>
\n 	<li>Unstitched Shirt</li>
\n 	<li>Printed Slub Khaddar Shirt</li>
\n 	<li>Color: Ochre</li>
\n</ul>","<h4>Description:</h4>
\n<ul>
\n 	<li>Unstitched Shirt</li>
\n 	<li>Printed Slub Khaddar Shirt</li>
\n 	<li>Color: Ochre</li>
\n</ul>
\n<h4>product Specialization</h4>
\n<table id=""product-attribute-specs-table-1"" class=""table-bordered product-attribute table""><colgroup><col width=""18%"" /><col width=""18%"" /><col width=""64%"" /></colgroup>
\n<tbody>
\n<tr class=""first odd"">
\n<td class=""col-heading red"">General</td>
\n<td class=""label col-heading"">Color</td>
\n<td class=""data  last"">LimeLight</td>
\n</tr>
\n<tr class=""even"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">SKU</td>
\n<td class=""data  last"">WOFLIM5DAFD43669F6F</td>
\n</tr>
\n<tr class=""last odd"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">Vendor</td>
\n<td class=""data  last"">LIMELIGHT</td>
\n</tr>
\n</tbody>
\n</table>
\n<table id=""product-attribute-specs-table-2"" class=""table-bordered product-attribute table"" style=""height: 34px;"" width=""341""><colgroup><col width=""18%"" /><col width=""18%"" /><col width=""64%"" /></colgroup>
\n<tbody>
\n<tr class=""first last odd"">
\n<td class=""col-heading red"">Features</td>
\n<td class=""label col-heading"">Weight</td>
\n<td class=""data  last"">0.5000</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,200,1100,"Women > Unstitched > Unstitched 3 Pcs Suit > 3 Pcs Suit, Women > Khaddar, Women > Unstitched > Unstitched 3 Pcs Suit, Women","Khaddar, Shirt, Unstitched, women",,"http://127.0.0.1/wordpress/wp-content/uploads/2020/05/7fab935ebb9638e6b19938e0afc82728.jpg, http://127.0.0.1/wordpress/wp-content/uploads/2020/05/5a7317c620f20760256d32810a299d78.jpg",,,,,,,,,0,inherit,,off,FALSE,,,,,,,,,
158,simple,,Blue Unstitched Printed ShirtEmb Dupatta Dyed Bottom,1,0,visible,"<h4>Description:</h4>
\n<ul>
\n 	<li>Blue Unstitched KHADDAR COLLECTION</li>
\n 	<li>Top and Bottom Material:Printed ShirtEmb DupattaDyed Bottom</li>
\n 	<li>100% Embroidered Cotton Dupatta</li>
\n 	<li>2.5 meters  Printed Cotton Shirt</li>
\n 	<li>Dyed Cotton Bottom 1.75 meter</li>
\n</ul>","<h4>Description:</h4>
\n<ul>
\n 	<li>Blue Unstitched KHADDAR COLLECTION</li>
\n 	<li>Top and Bottom Material:Printed ShirtEmb DupattaDyed Bottom</li>
\n 	<li>100% Embroidered Cotton Dupatta</li>
\n 	<li>2.5 meters  Printed Cotton Shirt</li>
\n 	<li>Dyed Cotton Bottom 1.75 meter</li>
\n</ul>
\n<h4>Product Specialization:</h4>
\n<table id=""product-attribute-specs-table-1"" class=""table-bordered product-attribute table""><colgroup><col width=""18%"" /><col width=""18%"" /><col width=""64%"" /></colgroup>
\n<tbody>
\n<tr class=""first odd"">
\n<td class=""col-heading red"">General</td>
\n<td class=""label col-heading"">Brand</td>
\n<td class=""data  last"">GulAhmed</td>
\n</tr>
\n<tr class=""even"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">SKU</td>
\n<td class=""data  last"">WOFGUL5BD300A09CF87</td>
\n</tr>
\n<tr class=""last odd"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">Vendor</td>
\n<td class=""data  last"">GULAHMED TEXTILES MILLS LIMITED</td>
\n</tr>
\n</tbody>
\n</table>
\n<table id=""product-attribute-specs-table-2"" class=""table-bordered product-attribute table"" style=""height: 31px;"" width=""489""><colgroup><col width=""18%"" /><col width=""18%"" /><col width=""64%"" /></colgroup>
\n<tbody>
\n<tr class=""first last odd"">
\n<td class=""col-heading red"">Features</td>
\n<td class=""label col-heading"">Weight</td>
\n<td class=""data  last"">1.2500</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,,4035,"Women > Bottom, Women > GulAhmed, Women > Khaddar, Women > Unstitched, Women","Bottom, Gul Ahmid, Shirt, Unstitched, women",,"http://127.0.0.1/wordpress/wp-content/uploads/2020/05/7a2ad29519ec300ddad2981c05eb9561_1-1.jpg, http://127.0.0.1/wordpress/wp-content/uploads/2020/05/772cead9bb606b727775f09686781ae2_1.jpg, http://127.0.0.1/wordpress/wp-content/uploads/2020/05/7a2ad29519ec300ddad2981c05eb9561_1-1-1.jpg",,,,,,,,,0,inherit,,off,FALSE,,,,,,,,,
165,simple,,Zellbury Unstitched 2 Pcs Cambric Suit By Zellbur,1,0,visible,"<ul>
\n 	<li>Digital Printed Cambric Shirt Front 1.15 meter
\nDigital Printed Cambric Shirt Back 1.15 meter
\nDigital Printed Cambric Slevees 0.65 meter
\nDigital Printed Cambric Dupatta 2.50 meter</li>
\n</ul>","<h4>Description</h4>
\n<ul>
\n 	<li>Digital Printed Cambric Shirt Front 1.15 meter</li>
\n 	<li>Digital Printed Cambric Shirt Back 1.15 meter</li>
\n 	<li>Digital Printed Cambric Slevees 0.65 meter</li>
\n 	<li>Digital Printed Cambric Dupatta 2.50 meter</li>
\n</ul>
\n&nbsp;
\n<h4>Product Specialization</h4>
\n<table id=""product-attribute-specs-table-1"" class=""table-bordered product-attribute table"">
\n<tbody>
\n<tr class=""first odd"">
\n<td class=""col-heading red"">General</td>
\n<td class=""label col-heading"">Brand</td>
\n<td class=""data  last"">Zellbury</td>
\n</tr>
\n<tr class=""even"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">SKU</td>
\n<td class=""data  last"">WOFZEL5D78B247E438D</td>
\n</tr>
\n<tr class=""last odd"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">Vendor</td>
\n<td class=""data  last"">Zelbury</td>
\n</tr>
\n</tbody>
\n</table>
\n<table id=""product-attribute-specs-table-2"" class=""table-bordered product-attribute table"" style=""height: 34px;"" width=""322""><colgroup><col width=""18%"" /><col width=""18%"" /><col width=""64%"" /></colgroup>
\n<tbody>
\n<tr class=""first last odd"">
\n<td class=""col-heading red"">Features</td>
\n<td class=""label col-heading"">Weight</td>
\n<td class=""data  last"">0.5000</td>
\n</tr>
\n</tbody>
\n</table>",,,taxable,,1,,,0,0,,,,,1,,,1690,"Women > Unstitched > 2 Pcs UnStitched, Women > Duppata|Shirt, Women","Dupatta, Shirt, Unstitched, women, Women 2 pcs",,http://127.0.0.1/wordpress/wp-content/uploads/2020/05/96419d884de8d5ead42b94571d1c2357.jpg,,,,,,,,,0,inherit,,off,FALSE,,,,,,,,,
167,simple,,Green Unstitched 3 pcs Lawn Suit,1,0,visible,"<h4>Description</h4>
\n<ul>
\n 	<li>Cotton Printed Dupatta -</li>
\n 	<li>2.5 meters Cotton Printed Shirt -</li>
\n 	<li>1.5 meters  Neckline Embroidery</li>
\n 	<li>1 x Green Unstitched 3 pcs Lawn Suit-TL-211 B -195655</li>
\n</ul>","<h4>Description</h4>
\n<ul>
\n 	<li>Cotton Printed Dupatta -</li>
\n 	<li>2.5 meters Cotton Printed Shirt -</li>
\n 	<li>1.5 meters  Neckline Embroidery</li>
\n 	<li>1 x Green Unstitched 3 pcs Lawn Suit-TL-211 B -195655</li>
\n</ul>
\n&nbsp;
\n<h4>Product Specialization</h4>
\n<table id=""product-attribute-specs-table-1"" class=""table-bordered product-attribute table""><colgroup><col width=""18%"" /><col width=""18%"" /><col width=""64%"" /></colgroup>
\n<tbody>
\n<tr class=""first odd"">
\n<td class=""col-heading red"">General</td>
\n<td class=""label col-heading"">Brand</td>
\n<td class=""data  last"">GulAhmed</td>
\n</tr>
\n<tr class=""even"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">SKU</td>
\n<td class=""data  last"">WOFGUL5C77DC25C89B2</td>
\n</tr>
\n<tr class=""last odd"">
\n<td class=""col-heading red""></td>
\n<td class=""label col-heading"">Vendor</td>
\n<td class=""data  last"">GULAHMED TEXTILES MILLS LIMITED</td>
\n</tr>
\n</tbody>
\n</table>
\n<table id=""product-attribute-specs-table-2"" class=""table-bordered product-attribute table"" style=""height: 35px;"" width=""484""><colgroup><col width=""18%"" /><col width=""18%"" /><col width=""64%"" /></colgroup>
\n<tbody>
\n<tr class=""first last odd"">
\n<td class=""col-heading red"">Features</td>
\n<td class=""label col-heading"">Weight</td>
\n<td class=""data  last"">1.0000</td>
\n</tr>
\n</tbody>
\n</table>",,,none,zero-rate,1,,,0,0,,,,,1,,2291,2690,"Women > GulAhmed, Women > Unstitched > Unstitched 3 Pcs Suit, Women","3 Pcs Suit, Gul Ahmid, Lawn, Unstitched, women",,"http://127.0.0.1/wordpress/wp-content/uploads/2020/05/c097d5a89dc361b19785e723583c9245_2.jpg, http://127.0.0.1/wordpress/wp-content/uploads/2020/05/d0a3b98b65d247e77898fdd99082f9af_2.jpg, http://127.0.0.1/wordpress/wp-content/uploads/2020/05/7dc3a071b15f8d75794656dd03f34338_2.jpg",,,,,,,,,0,inherit,,off,FALSE,,,,,,,,,
